0.212,0.288,0.071,0.113,0.17,0.013,0.002,462
0.215,0.291,0.072,0.115,0.171,0.013,0.002,462.5
0.218,0.294,0.073,0.116,0.172,0.013,0.002,463
0.22,0.297,0.074,0.117,0.173,0.013,0.002,463.5
0.223,0.3,0.074,0.118,0.174,0.013,0.002,464
0.226,0.303,0.075,0.119,0.175,0.013,0.002,464.5
0.229,0.306,0.076,0.12,0.176,0.013,0.002,465
0.231,0.309,0.077,0.121,0.176,0.013,0.002,465.5
0.233,0.311,0.077,0.122,0.177,0.014,0.002,466
0.236,0.314,0.078,0.123,0.178,0.013,0.002,466.5
0.238,0.316,0.079,0.124,0.178,0.013,0.002,467
0.241,0.319,0.079,0.125,0.179,0.014,0.001,467.5
0.243,0.322,0.08,0.125,0.179,0.014,0.002,468
0.245,0.324,0.08,0.126,0.18,0.014,0.002,468.5
0.248,0.327,0.081,0.127,0.18,0.014,0.002,469
0.25,0.329,0.082,0.128,0.18,0.014,0.002,469.5
0.252,0.332,0.082,0.129,0.181,0.014,0.002,470
0.255,0.334,0.083,0.129,0.181,0.014,0.001,470.5
0.257,0.336,0.083,0.13,0.182,0.014,0.002,471
0.259,0.338,0.084,0.131,0.182,0.014,0.002,471.5
0.261,0.34,0.085,0.131,0.182,0.014,0.002,472
0.263,0.342,0.085,0.132,0.182,0.014,0.002,472.5
0.265,0.344,0.086,0.133,0.182,0.014,0.002,473
0.267,0.346,0.086,0.133,0.182,0.014,0.001,473.5
0.269,0.348,0.086,0.134,0.182,0.014,0.001,474
0.271,0.35,0.087,0.134,0.183,0.014,0.001,474.5
0.273,0.351,0.087,0.135,0.183,0.014,0.001,475
0.275,0.353,0.088,0.135,0.183,0.014,0.001,475.5
0.276,0.355,0.088,0.135,0.183,0.014,0.001,476
0.278,0.356,0.088,0.136,0.183,0.014,0.001,476.5
0.28,0.357,0.088,0.136,0.182,0.014,0.001,477
0.281,0.359,0.089,0.136,0.182,0.014,0.001,477.5
0.283,0.36,0.089,0.136,0.182,0.014,0.001,478
0.284,0.361,0.089,0.137,0.182,0.014,0.001,478.5
0.286,0.362,0.089,0.137,0.182,0.014,0.001,479
0.287,0.363,0.089,0.137,0.182,0.014,0.001,479.5
0.288,0.365,0.09,0.137,0.181,0.014,0.001,480
0.29,0.366,0.09,0.137,0.181,0.014,0.001,480.5
0.291,0.366,0.09,0.137,0.181,0.014,0.001,481
0.292,0.367,0.09,0.137,0.18,0.014,0.001,481.5
0.293,0.368,0.09,0.137,0.18,0.014,0.001,482
0.294,0.368,0.09,0.137,0.179,0.014,0.001,482.5
0.295,0.369,0.09,0.137,0.179,0.014,0.001,483
0.296,0.369,0.09,0.137,0.178,0.014,0.001,483.5
0.297,0.37,0.09,0.137,0.178,0.014,0.001,484
0.298,0.37,0.09,0.136,0.177,0.014,0.001,484.5
0.299,0.37,0.09,0.136,0.176,0.013,0.001,485
0.299,0.371,0.09,0.136,0.176,0.014,0.001,485.5
0.3,0.37,0.09,0.136,0.175,0.014,0.001,486
0.301,0.37,0.09,0.136,0.175,0.013,0.001,486.5
0.301,0.37,0.09,0.135,0.174,0.013,0.001,487
0.302,0.37,0.09,0.135,0.173,0.013,0.001,487.5
0.302,0.37,0.09,0.134,0.172,0.013,0.001,488
0.302,0.37,0.089,0.134,0.171,0.013,0,488.5
0.303,0.369,0.089,0.133,0.17,0.013,0,489
0.303,0.369,0.089,0.133,0.169,0.013,0,489.5
0.303,0.369,0.089,0.133,0.168,0.013,0,490
0.303,0.368,0.088,0.132,0.167,0.013,0,490.5
0.303,0.367,0.088,0.131,0.166,0.013,0,491
0.303,0.367,0.088,0.131,0.165,0.013,0,491.5
0.303,0.366,0.087,0.13,0.164,0.013,0,492
0.303,0.365,0.087,0.129,0.163,0.012,0,492.5
0.303,0.364,0.087,0.129,0.162,0.012,0,493
0.303,0.363,0.086,0.128,0.161,0.012,0,493.5
0.302,0.362,0.086,0.127,0.16,0.012,0,494
0.302,0.361,0.086,0.127,0.159,0.012,0,494.5
0.302,0.36,0.085,0.126,0.158,0.012,0,495
0.301,0.358,0.085,0.125,0.156,0.012,0,495.5
0.301,0.357,0.084,0.124,0.155,0.012,0,496
0.3,0.356,0.083,0.123,0.154,0.012,0,496.5
0.3,0.354,0.083,0.122,0.152,0.012,0,497
0.299,0.353,0.082,0.121,0.151,0.012,0,497.5
0.298,0.351,0.082,0.12,0.15,0.011,0,498
0.298,0.349,0.081,0.119,0.149,0.011,0,498.5
0.297,0.348,0.081,0.119,0.147,0.011,0,499
0.296,0.346,0.08,0.118,0.146,0.011,0,499.5
0.295,0.344,0.08,0.116,0.145,0.011,0,500
0.294,0.342,0.079,0.115,0.143,0.011,0,500.5
0.293,0.341,0.078,0.114,0.142,0.011,-0.001,501
0.292,0.339,0.078,0.113,0.141,0.01,-0.001,501.5
0.291,0.337,0.077,0.112,0.139,0.01,-0.001,502
0.29,0.334,0.076,0.111,0.138,0.01,-0.001,502.5
0.288,0.332,0.076,0.11,0.136,0.01,-0.001,503
0.287,0.33,0.075,0.109,0.135,0.01,-0.001,503.5
0.286,0.328,0.074,0.108,0.134,0.01,-0.001,504
0.285,0.326,0.074,0.107,0.132,0.01,-0.001,504.5
0.283,0.324,0.073,0.106,0.131,0.01,-0.001,505
0.282,0.321,0.072,0.104,0.129,0.01,-0.001,505.5
0.28,0.319,0.072,0.103,0.128,0.009,-0.001,506
0.279,0.317,0.071,0.102,0.126,0.009,-0.001,506.5
0.277,0.314,0.07,0.101,0.125,0.009,-0.001,507
0.276,0.312,0.069,0.1,0.123,0.009,-0.001,507.5
0.274,0.309,0.069,0.099,0.122,0.009,-0.001,508
0.273,0.307,0.068,0.097,0.121,0.009,-0.001,508.5
0.271,0.304,0.067,0.096,0.119,0.009,-0.001,509
0.27,0.301,0.066,0.095,0.118,0.009,-0.001,509.5
0.268,0.299,0.066,0.094,0.116,0.008,-0.001,510
0.266,0.296,0.065,0.093,0.115,0.008,-0.001,510.5
0.264,0.293,0.064,0.091,0.113,0.008,-0.001,511
0.262,0.29,0.063,0.09,0.112,0.008,-0.001,511.5
0.26,0.288,0.062,0.089,0.11,0.008,-0.001,512
0.258,0.285,0.062,0.087,0.109,0.008,-0.001,512.5
0.256,0.282,0.061,0.086,0.107,0.008,-0.001,513
0.254,0.279,0.06,0.085,0.106,0.008,-0.001,513.5
0.252,0.277,0.059,0.084,0.104,0.008,-0.001,514
0.25,0.274,0.059,0.082,0.103,0.007,-0.002,514.5
0.248,0.271,0.058,0.081,0.102,0.007,-0.002,515
0.246,0.268,0.057,0.08,0.1,0.007,-0.002,515.5
0.244,0.265,0.056,0.078,0.099,0.007,-0.002,516
0.242,0.262,0.055,0.077,0.097,0.007,-0.002,516.5
0.24,0.259,0.054,0.076,0.096,0.007,-0.002,517
0.237,0.256,0.053,0.075,0.095,0.007,-0.002,517.5
0.235,0.253,0.052,0.073,0.093,0.007,-0.002,518
0.233,0.25,0.052,0.072,0.092,0.006,-0.002,518.5
0.231,0.247,0.051,0.071,0.09,0.006,-0.002,519
0.228,0.244,0.05,0.069,0.089,0.006,-0.002,519.5
0.226,0.241,0.049,0.068,0.087,0.006,-0.002,520
0.224,0.238,0.048,0.067,0.086,0.006,-0.002,520.5
0.221,0.235,0.048,0.066,0.085,0.006,-0.002,521
0.219,0.232,0.047,0.064,0.083,0.006,-0.002,521.5
0.217,0.229,0.046,0.063,0.082,0.006,-0.002,522
0.215,0.226,0.045,0.062,0.081,0.006,-0.002,522.5
